,city_name,country_code,latitude,longitude,temperature,humidity,cloudiness,wind_speed
1769,pacific grove,us,35.65933354590122,-124.04570134440061,60.39,58.0,1.0,6.93
1773,le moule,gp,16.491729485234444,-61.17742398870301,71.6,88.0,88.0,2.24
1786,villa sandino,ni,12.234107180398624,-84.84973318109418,76.01,70.0,0.0,9.4
1787,kudat,my,6.455078820546575,116.95924307722288,84.2,70.0,75.0,4.7
1792,verkhoyansk,ru,66.88954034699435,132.86906873413085,23.59,73.0,8.0,4.7
1794,dehloran,ir,32.67290675252164,46.939614799028334,54.59,59.0,0.0,2.13
1805,bure,et,10.449922048469887,36.23856352738974,69.85,45.0,8.0,4.7
1806,pozo colorado,py,-23.7599563483583,-59.081680547684485,72.59,90.0,44.0,5.7
1810,teknaf,bd,19.366985963948125,89.84447170995111,82.72,65.0,76.0,2.91
1812,batouri,cm,4.790499744246816,14.24343375371862,68.0,98.0,64.0,4.7
1814,igarka,ru,67.61175887618566,86.75375002291435,-4.72,81.0,64.0,13.2
1823,cobija,bo,-12.007721078615305,-67.91826929845196,71.69,97.0,0.0,2.13
1836,guadalajara,es,41.127413467330825,-3.362101865373745,50.04,70.0,0.0,1.12
1842,akdepe,tm,41.89849940529757,56.67829914788675,34.66,64.0,0.0,6.93
1851,shangqiu,cn,34.55820575205898,115.54901455810818,78.35,74.0,0.0,9.73
1860,mackay,au,-21.420237710475817,149.77117903048014,23.0,32.0,20.0,8.05
1861,mendoza,ar,-32.202627114319924,-69.2635811598411,69.8,64.0,40.0,3.36
1868,lastoursville,ga,-0.9647999136372079,12.913529064014767,72.77,93.0,76.0,2.46
1872,upata,ve,7.3657911808285945,-61.38232869713872,81.5,47.0,24.0,10.18
1874,kodinsk,ru,58.94781375036234,98.31487808229218,17.69,43.0,8.0,9.06
1877,kiama,au,-35.63898808995004,153.8080399962172,73.4,69.0,44.0,8.05
1879,chapleau,ca,47.857832560562855,-83.21146879618796,15.8,72.0,20.0,4.7
1881,chumikan,ru,56.41919904556559,132.81561718126454,23.05,84.0,92.0,14.54
1883,zhanaozen,kz,42.09282626770192,53.15264260350804,32.77,75.0,0.0,13.42
1885,westport,ie,54.01788292538146,-10.564786303293175,39.65,99.0,92.0,21.81
1891,ouesso,cg,2.2394206301997315,16.58025771337921,72.32,99.0,76.0,3.13
1892,jieshi,cn,21.810293910952836,115.54385544227108,72.55,85.0,68.0,4.14
1900,zhangjiakou,cn,43.52968767578412,115.2883515257339,62.83,73.0,0.0,4.03
